Student ID,First Name,Last Name,CNIC,Email,Phone Number,Credit Hours,CGPA
90K-8419,Matthew,Cole,69026-7683328-4,gomezalexander@gmail.com,+92 7200243569,123,3.67
56K-1687,James,Taylor,26787-5862753-9,patricia57@gmail.com,+92 1042612064,48,2.3
95K-0306,Crystal,Lawrence,95724-8479152-6,turnersean@gmail.com,+92 7433865752,75,3.45
15K-9926,Leslie,Davis,87808-0407657-7,balljacob@gmail.com,+92 0223578312,128,3.86
66K-1303,Caitlyn,Mooney,62317-8329604-1,kingjennifer@gmail.com,+92 6231181143,50,2.69
47K-5714,Robert,Mclaughlin,44352-5880681-0,turnercarla@gmail.com,+92 9027534520,121,3.11
80K-9261,Ashley,Guerra,83729-9231112-5,aroberts@gmail.com,+92 7420485347,58,3.41
43K-6813,Jasmine,Patel,35260-7406854-7,christinawilliams@gmail.com,+92 6939373235,93,2.43
24K-1444,Daniel,Rice,79267-3674838-7,johnsonsarah@gmail.com,+92 0021691018,109,3.0
94K-1916,Joshua,Gonzales,44874-5440254-7,coreyfloyd@gmail.com,+92 9772294944,109,3.3
10K-9479,Susan,Rodriguez,26859-0381004-8,christiantorres@gmail.com,+92 2026304744,26,3.95
13K-4609,Mathew,Bishop,34538-8503890-9,smithjessica@gmail.com,+92 2088727469,73,3.12
90K-8214,Laura,Simpson,17571-7685234-4,hunterlinda@gmail.com,+92 9094289621,115,2.64
21K-5338,Brian,Keller,87109-6798719-3,rgarcia@gmail.com,+92 2340643936,130,2.17
54K-1806,Julia,Smith,28672-1097134-4,alexandria85@gmail.com,+92 0361781680,43,3.51
19K-1928,Andrew,Armstrong,25118-8687538-5,hollymiller@gmail.com,+92 6067581273,25,2.7
46K-7435,David,Hubbard,74117-1416758-3,marcduran@gmail.com,+92 3074718514,25,2.34
16K-9055,Jennifer,Bowman,49873-3142938-3,lambertbrooke@gmail.com,+92 0081519098,64,3.4
71K-1609,Jennifer,Ruiz,89396-3597484-8,jacquelinechen@gmail.com,+92 0753854057,124,2.0
