Student ID,First Name,Last Name,CNIC,Email,Phone Number,Credit Hours,CGPA
12K-8780,Scott,Dudley,32281-8037358-5,oallen@gmail.com,+92 1300500594,96,2.32
27K-8560,Vincent,Long,17154-7360156-9,gonzalesjamie@gmail.com,+92 8612924792,127,2.7
80K-1349,Eddie,Johnson,49243-3169802-2,kimberlyhopkins@gmail.com,+92 1877264875,100,3.0
10K-6770,Sydney,Miller,53858-4991534-4,catherine73@gmail.com,+92 2183559270,43,2.22
84K-4250,Derek,Allen,77452-5253347-0,sadams@gmail.com,+92 9360936548,71,2.37
50K-3152,Janet,Chan,56538-0974200-3,mark18@gmail.com,+92 6147619183,95,2.55
77K-6935,Joseph,King,55510-2718242-9,alicia67@gmail.com,+92 8476807745,25,2.27
61K-2623,Justin,Maldonado,93221-4622811-3,bonillamichelle@gmail.com,+92 0053555639,83,2.0
79K-4002,Garrett,Duncan,55711-0338401-1,angeladominguez@gmail.com,+92 1550396855,21,3.24
03K-8951,Destiny,Matthews,11117-3114464-1,amycannon@gmail.com,+92 6513781183,24,3.47
14K-0007,Frederick,Osborn,40515-4569021-3,derekgraham@gmail.com,+92 4481725166,104,3.4
65K-5769,Heather,Miller,60056-4274007-9,marccortez@gmail.com,+92 1210659611,107,3.33
99K-3706,Emily,Buchanan,90462-6655487-8,amanda08@gmail.com,+92 2066625318,87,3.26
93K-7575,Amy,Arnold,14719-9971663-4,tgomez@gmail.com,+92 9327422035,87,3.6
90K-8418,Justin,Montgomery,44964-2921460-4,tjones@gmail.com,+92 5747113339,77,2.54
78K-2338,Kevin,Hansen,25296-0049492-1,christopherhardy@gmail.com,+92 5571284596,33,2.85
56K-9510,Matthew,Mendoza,55083-8039405-2,melissa92@gmail.com,+92 6235842763,94,3.69
75K-1115,Dustin,Nelson,15056-2588547-8,gsantiago@gmail.com,+92 2318658697,85,3.32
80K-1117,Thomas,Sanchez,20579-4583958-1,michaelgolden@gmail.com,+92 8611739015,108,3.4
79K-9510,Susan,Brooks,69735-2953652-5,kristin03@gmail.com,+92 2499438429,101,3.26
87K-0466,Dominic,Williams,96268-9408764-1,dclark@gmail.com,+92 1105837167,107,2.32
