Student ID,First Name,Last Name,CNIC,Email,Phone Number,Credit Hours,CGPA
28K-4745,Amanda,Green,27627-8368198-3,bhanson@gmail.com,+92 0697361697,45,2.7
03K-1142,David,Boyd,96159-0044666-9,susangonzalez@gmail.com,+92 1721005058,47,3.97
95K-2330,Robin,West,97625-8245380-8,padillavictoria@gmail.com,+92 7592028214,81,2.5
10K-2180,Brandon,Norton,65212-3133749-6,troystone@gmail.com,+92 4457932739,87,3.83
45K-3740,Justin,Hicks,92240-2767419-5,christopher85@gmail.com,+92 1584311704,32,3.67
34K-8805,Kimberly,Collins,24449-3981419-6,lindacabrera@gmail.com,+92 9421232869,81,3.47
06K-6978,Andrew,Barry,50834-9727556-9,faith75@gmail.com,+92 8322042644,122,2.9
65K-2170,Lisa,Carpenter,50676-4964940-5,emily22@gmail.com,+92 2238711872,44,2.89
38K-2081,Sarah,Murillo,12495-6797966-2,simpsonalexa@gmail.com,+92 4740575900,124,2.12
31K-3391,Luke,Parks,76345-9355029-6,kyle10@gmail.com,+92 9261231948,81,3.9
30K-7718,Angela,Cooper,21498-3774422-2,alisonarmstrong@gmail.com,+92 7525590728,99,3.69
48K-3891,Jennifer,Johnson,26793-5662139-3,raymonddaniel@gmail.com,+92 7825610562,80,3.1
63K-0231,Joseph,Jennings,46320-6476699-1,ftorres@gmail.com,+92 1687291291,75,3.68
06K-8871,Sarah,Blackburn,46206-7381068-3,ogutierrez@gmail.com,+92 4633894582,120,2.16
26K-5962,Jonathan,Christian,67429-7115693-8,hmaxwell@gmail.com,+92 4043551885,127,2.24
29K-8956,Timothy,Garcia,16312-9720207-4,kramerjason@gmail.com,+92 1084680368,110,2.64
33K-2190,Lindsey,Avila,50859-3224814-1,brandon62@gmail.com,+92 9188908764,30,3.13
47K-7478,Bradley,Vargas,75598-2820578-8,ijohnson@gmail.com,+92 1115247257,81,3.94
28K-3384,Linda,Mahoney,93596-7076042-7,hartkimberly@gmail.com,+92 0171600287,92,3.23
61K-9896,Sarah,Henderson,40261-5046411-4,qperez@gmail.com,+92 3829695469,90,3.8
83K-6553,Patty,Clark,37339-8042554-2,glewis@gmail.com,+92 6032442808,103,3.17
93K-4857,Patricia,Miller,92128-0722164-2,kjennings@gmail.com,+92 7541147314,71,2.2
